D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
E,player[+][p],"just bought one & i 've enjoyed it to date" 
E,size[+],"nice palm sized unit  somewhat bigger then the ipod but not an issue if you 're not going to try & jog with it or something" 
E,sound quality[+],"all reviews i 've seen seem to indicate that the creative mp3 jukeboxes have the best sound quality of these 2nd generation jukeboxed ( ipod  archos  dell  samsung )" 
E,eax[+],"the eax settings are somewhat superfluous but not really a negative" 
E,player[-],"i 've tried the belkin fm transmitter unit with it & it worked well when i set it on top of a portable radio  but was awful trying to use in the car which is somewhat of a disappointment" 
E,control[-],"- the controls are much inferior to the simple ipod ones" 
E,fly wheel[-],"the black fly wheel feels pretty cheap & is uncomfortable to use" 
E,button[-],"the locations of various buttons on one side or the other is somewhat illogical 
E,software[-],"- included creative software is pretty poor" 
E,price[+],"- great value 40gb vs 10 gb ipod for the price 
E,sound[+],"- best in class sound 
E,screen[+],"- large easy readable screen 
E,play[-],"i tried to play the song three times  with no success" 
E,play[-],"it would either not play the song at all  or skip wildly  no matter that the unit was resting on my desk" 
E,software[-],"had there been strange noises  or obvious defects  i would have accepted a replacement  but this is clearly from a defective and inferior operating system and i for one do not intend on waiting for patches" 
E,player[+][p],"working for 10 hours with it on " shuffle " totally rocks ! ! 
E,player[+][p],"i love it ! ! 
E,player[-][p],"this product is too fragile for normal use" 
E,software[+],"i had no problems setting up the software and getting my favorite cd 's transferred" 
E,software[-],"however  the creative software is not real intuitive" 
E,software[-],"the software is somewhat nice to look at  using it is not the easiest" 
E,rename[-],"if you want to rename a cd title that you have already transferred  you will become frustrated quite quickly" 
E,transfer[+],"transfers are surprisingly quick through usb 2.0" 
E,sound[+],"it is great sounding  even with the supplied earbuds" 
E,earbud[+],"i must have differing preferences than others here  as i prefer the supplied earbuds to the sony 's that i thought sounded good on other players" 
E,storage[+],"i love the storage in this thing" 
E,warranty[-][p],"this is ridiculous" 
E,scroll wheel[-],"the scroll wheel  to be blunt  sucks" 
E,scroll wheel[-][p],"seems it is always difficult to press to make a selection" 
E,interface[-],"the interface used could be better designed" 
E,interface[-][p],"it is a little cumbersome to scroll through so many levels to get to the selection you want" 
E,case[-],"and the case  how did this ever make it out of quality control" 
E,case[-][p],"it is some protection for the unit  but for useability  forget it" 
E,control[-],"the cut-outs for the controls is not thought out as there is too much material in the way to adequately access the controls  especially the scroll wheel" 
E,player[+][p],"despite the things that i have listed so far  i could live with this item since it saves me from lugging a cd case to work  to the gym  in the car  etc." 
E,lock up[-],"however the main reason i am not satisfied with this product is the fact that it will lock up at odd times" 
E,firmware[-],"quite simply  the firmware and / or the os that control this thing is not ready for prime time" 
E,warranty[-],"i know this unit will have problems in the future and the $ 40 for the 2 year " no questions asked " replacement warranty will be worth it  since creative will only warrant it for 90 days - which in itself is totally ridiculous ! 
E,player[+],"this is my second creative labs mp3 player  and it is definitely a fine product" 
E,size[-]weight[-],"1" the size is a little bit bigger than the ipod  and it weighs a little bit more" 
E,scroll[-],"2" the scroll button is n't the best  as it sometimes can be hard to select" 
E,sound quality[+],"first of all the player 's sound quality is superior to the ipod" 
E,software[+],"the player 's software is very easy to use and very good" 
E,software[+],"compared to musicmatch  the software has a better filing system and easier to use" 
E,player[+][p],"to keep it short  this is cheaper  and in my opinion a better choice than an ipod" 
E,player[+],"this thing seriously is a good player though" 
E,unit[+],"overall i like the unit" 
E,player[-][p],"i gave it only 3 stars due to the fact that the 1st one broke when i dropped it from a fairly short distance ( less than 2 ft )" 
E,price[+],"1 ) price / gb of storage 
E,storage[+],"2 ) storage capacity 
E,battery[+],"3 ) user replaceable battery 
E,construction[-][u],"1 ) fragile ( i broke the 1st one within 10 days ) 
E,scroll[-],"2 ) scroll button / switch 
E,case[-],"3 ) the case hides the display - you have to open it to see what you are doing" 
E,player[+][p],"overall i like it" 
E,storage[+],"the storage capacity is great" 
E,price[+],"the price compared to the ipod is great" 
E,price[+]battery[+],"price  along with the replaceable battery ( which i understand apple charges a small fortune to replace - as well as the hassle of returning it ) were the two main factors on why i picked the nomad" 
E,itunes[-],"but for now it appears that this player does n't play well with itunes" 
E,scroll[-],"the scroll bar is a bit of a pain" 
E,software[+],"i 've had no problems with the software" 
E,software[+][p],"i found it intuitive to use ( i did n't read any documentation for it and was using it successfully within a few minutes )" 
E,software[+][p],"this is a nice feature ( i.e. it 's early in the morning and you rather listen to " easy listening " rather than " heavy metal " - no problem" 
E,software[+],"the software comes with plenty of defaults genres" 
E,sound[+],"the sound from the player is ok" 
E,sound[-],"i was a little disappointed in the low end" 
E,sound[-],"the sound level is also not as high as i would have expected" 
E,this thing[+],"this thing is great  i like to use it to pick up tough stains on my countertop and also to listen to my old 8-track records" 
E,storage[+],"one good thing  it is 40 gb of disk space ( well  it is 38 gb in reality )" 
E,price[+]feature[+],"for the price and features it is really good" 
E,navigation[-],"in any case  navigation by artist / album is ok however i miss an ability to navigate by folders" 
E,navigation[-],"you even can not navigate by genre / artist / album since under genre you get just all tracks in that genre  no other division" 
E,software[-],"the software  which comes with player is not good at all" 
